id;name;internal_external;cardinality;enumeration;l_pattern;long_name;definition;update_date;creation_date
eb263731-fbbb-4824-bd42-36a45f7d4551;Stand-alone Games;Facilitator Practical global;override connecting transmit;B2B override;Pants Wooden;Soap integrated policy;RAM;2021-05-19;2021-05-19
3fb41c3b-1bae-4f15-9880-6daaefd030a6;Oman Union;Creative Glen static;Shoal envisioneer;PCI;Facilitator;Car Global;streamline Cross-platform payment;2021-05-18;2021-05-18
126c43c9-e280-4270-9655-2cfc168cd064;Engineer Pine tan;bandwidth infrastructures web-enabled;productize;withdrawal Industrial;Plastic;Ohio Serbia;SSL Chips Global;2021-05-18;2021-05-19
c12b1e9d-c666-4ba6-99c5-1c55d8a88320;productize Steel Future-proofed;Pants;Program Extension;Loan morph;District;area Hills Wyoming;Accounts Mountain;2021-05-18;2021-05-19
514229f3-e298-44f8-a05e-7b632865a217;task-force;innovate SSL;Gorgeous Avon;paradigms panel projection;Human;drive white;neural;2021-05-19;2021-05-18
778062b5-87f0-4c3f-9df4-05884dee046b;Chair;Sausages cross-platform;Tuna compress;USB;Ohio orange;virtual invoice;indigo Ergonomic;2021-05-18;2021-05-18
3c8c8d5b-146a-450f-9c12-c4958218a0eb;back-end Cambridgeshire;blockchains;silver circuit;gold navigate white;International;reboot;Borders Bacon;2021-05-18;2021-05-19
d7d34ee5-825f-40fb-87f6-83a5e0db5abc;indexing;Kentucky orange Mountains;transmitter;Accountability XML;copying Chips;Group supply-chains;payment Borders;2021-05-18;2021-05-18
46bbe4c2-f05d-4582-b1e9-c22de25977d9;New Ameliorated;Account withdrawal Upgradable;Soft Account reinvent;SSL silver cross-platform;ivory system;America;Fresh;2021-05-18;2021-05-18
f6f9bd53-e866-4348-91ca-9d69cde5de4f;Granite Administrator invoice;alarm;Electronics orchestrate Markets;pixel Creative Accountability;Industrial Borders Ball;Port Centers multi-byte;Bedfordshire hardware Plastic;2021-05-18;2021-05-19
